Seniority,Member,Party & State,Start of Service
,John Lewis,"(D), GA",01-03-1987
,Eleanor Holmes-Norton (delegate),"(D), DC",01-03-1991
,Maxine Waters,"(D), CA",01-03-1991
,Sanford Bishop,"(D), GA",01-03-1993
,Jim Clyburn,"(D), SC",01-03-1993
,Alcee Hastings,"(D), FL",01-03-1993
,Eddie Bernice-Johnson,"(D), TX",01-03-1993
,Bobby Rush,"(D), IL",01-03-1993
,Bobby Scott,"(D), VA",01-03-1993
,Bennie Thompson,"(D), MS",04-13-1993
,Sheila Jackson Lee,"(D), TX",01-03-1995
,Elijah Cummings,"(D), MD",04-16-1996
,Danny Davis,"(D), IL",01-03-1997
,Gregory Meeks,"(D), NY",02-03-1998
,Barbara Lee,"(D), CA",04-07-1998
,William Lacy Clay,"(D), MO",01-03-2001
,David Scott,"(D), GA",01-03-2003
,G.K. Butterfield,"(D), NC",07-20-2004
,Emanuel Cleaver,"(D), MO",01-03-2005
,Al Green,"(D), TX",01-03-2005
,Gwen Moore,"(D), WI",01-03-2005
,Yvette Clarke,"(D), NY",01-04-2007
,Hank Johnson,"(D), GA",01-04-2007
,Andre Carson,"(D), IN",03-13-2008
,Marcia Fudge,"(D), OH",11-19-2008
,Karen Bass,"(D), CA",01-05-2011
,Cedric Richmond,"(D), LA",01-05-2011
,Terri Sewell,"(D), AL",01-05-2011
,Frederica Wilson,"(D), FL",01-05-2011
,"Donald Payne, Jr.","(D), NJ",11-15-2012
,Joyce Beatty,"(D), OH",01-03-2013
,Hakeem Jeffries,"(D), NY",01-03-2013
,Marc Veasey,"(D), TX",01-03-2013
,Robin Kelly,"(D), IL",04-11-2013
,Alma Adams,"(D), NC",11-12-2014
,Bonnie Watson Coleman,"(D), NJ",01-06-2015
,Will Hurd,"(R), TX",01-06-2015
,Brenda Lawrence,"(D), MI",01-06-2015
,Stacey Plaskett (delegate),"(D), VI",01-06-2015
,Dwight Evans,"(D), NJ",11-14-2016
,A. Donald McEachin,"(D), VA",01-03-2016
,Anthony Brown,"(D), MD",01-03-2016
,Val Demings,"(D), FL",01-03-2016
,Al Lawson,"(D), FL",01-03-2016
,Lisa Blunt Rochester,"(D), DE",01-03-2016
,Joe Neguse,"(D), CO",01-03-2019
,Jahana Hayes,"(D), CO",01-03-2019
,Lucy McBath,"(D), GA",01-03-2019
,Lauren Underwood,"(D), IL",01-03-2019
,Ayanna Pressley,"(D), MA",01-03-2019
,Ilhan Omar,"(D), MI",01-03-2019
,Steve Horsford,"(D), NV",01-03-2019
,Antonio Delgado,"(D), NY",01-03-2019
,Colin Allred,"(D), TX",01-03-2019
"Total African-Americans: 54
Democrats: 53
Republicans: 1",,,